index,0,1,2,3,4,5,6,7
0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001
1,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001
2,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.001
3,0.0,0.001,0.001,0.0,0.002,0.0,0.0,0.001
4,0.0,0.001,0.001,0.001,0.002,0.0,0.0,0.001
5,0.001,0.001,0.001,0.001,0.002,0.0,0.0,0.001
6,0.001,0.002,0.001,0.001,0.002,0.0,0.0,0.001
7,0.001,0.002,0.001,0.001,0.003,0.0,0.0,0.001
8,0.001,0.002,0.001,0.001,0.004,0.0,0.0,0.001
9,0.001,0.002,0.001,0.001,0.005,0.0,0.0,0.001
10,0.001,0.002,0.001,0.001,0.006,0.0,0.0,0.001
11,0.001,0.002,0.001,0.001,0.007,0.0,0.0,0.001
12,0.001,0.002,0.001,0.001,0.008,0.0,0.0,0.001
13,0.001,0.002,0.001,0.001,0.009,0.0,0.0,0.001
14,0.001,0.002,0.001,0.001,0.01,0.0,0.0,0.001
15,0.001,0.002,0.001,0.001,0.011,0.0,0.0,0.001
16,0.001,0.002,0.001,0.002,0.011,0.0,0.0,0.001
17,0.001,0.002,0.001,0.002,0.011,0.001,0.0,0.001
18,0.001,0.002,0.002,0.002,0.011,0.001,0.0,0.001
19,0.001,0.002,0.002,0.002,0.011,0.001,0.0,0.002
20,0.001,0.003,0.002,0.002,0.011,0.001,0.0,0.002
21,0.001,0.003,0.002,0.002,0.011,0.001,0.0,0.003
22,0.001,0.003,0.002,0.002,0.011,0.001,0.0,0.004
23,0.001,0.003,0.002,0.002,0.012,0.001,0.0,0.004
24,0.001,0.003,0.002,0.003,0.012,0.001,0.0,0.004
25,0.002,0.003,0.002,0.003,0.012,0.001,0.0,0.004
26,0.002,0.004,0.002,0.003,0.012,0.001,0.0,0.004
27,0.002,0.004,0.002,0.003,0.013,0.001,0.0,0.004
28,0.002,0.004,0.002,0.004,0.013,0.001,0.0,0.004
29,0.002,0.004,0.002,0.004,0.013,0.002,0.0,0.004
30,0.002,0.004,0.003,0.004,0.013,0.002,0.0,0.004
31,0.002,0.004,0.003,0.004,0.014,0.002,0.0,0.004
32,0.002,0.004,0.003,0.004,0.015,0.002,0.0,0.004
33,0.002,0.004,0.003,0.005,0.015,0.002,0.0,0.004
34,0.002,0.004,0.003,0.005,0.015,0.003,0.0,0.004
35,0.002,0.004,0.004,0.005,0.015,0.003,0.0,0.004
36,0.002,0.004,0.004,0.005,0.015,0.003,0.0,0.005
37,0.002,0.004,0.004,0.005,0.016,0.003,0.0,0.005
38,0.002,0.004,0.004,0.005,0.017,0.003,0.0,0.005
39,0.002,0.004,0.004,0.006,0.017,0.003,0.0,0.005
40,0.002,0.004,0.004,0.006,0.017,0.003,0.001,0.005
41,0.003,0.004,0.004,0.006,0.017,0.003,0.001,0.005
42,0.003,0.004,0.004,0.006,0.017,0.004,0.001,0.005
43,0.003,0.004,0.005,0.006,0.017,0.004,0.001,0.005
44,0.003,0.004,0.005,0.006,0.017,0.004,0.001,0.006
45,0.003,0.004,0.005,0.006,0.018,0.004,0.001,0.006
46,0.003,0.004,0.005,0.007,0.018,0.004,0.001,0.006
47,0.003,0.004,0.005,0.007,0.018,0.005,0.001,0.006
48,0.003,0.004,0.006,0.007,0.018,0.005,0.001,0.006
49,0.003,0.004,0.006,0.007,0.019,0.005,0.001,0.006
50,0.003,0.004,0.006,0.007,0.02,0.005,0.001,0.006
51,0.003,0.004,0.006,0.008,0.02,0.005,0.001,0.006
52,0.004,0.004,0.006,0.008,0.02,0.005,0.001,0.006
53,0.004,0.005,0.006,0.008,0.02,0.005,0.001,0.006
54,0.004,0.005,0.006,0.008,0.02,0.005,0.001,0.007
55,0.004,0.005,0.006,0.008,0.021,0.005,0.001,0.007
56,0.004,0.005,0.006,0.009,0.021,0.005,0.001,0.007
57,0.005,0.005,0.006,0.009,0.021,0.005,0.001,0.007
58,0.005,0.005,0.006,0.009,0.021,0.006,0.001,0.007
59,0.005,0.005,0.007,0.009,0.021,0.006,0.001,0.007
60,0.005,0.005,0.007,0.009,0.022,0.006,0.001,0.007
61,0.005,0.005,0.007,0.01,0.022,0.006,0.001,0.007
62,0.005,0.005,0.007,0.01,0.022,0.006,0.002,0.007
63,0.005,0.005,0.007,0.01,0.022,0.007,0.002,0.007
64,0.005,0.005,0.008,0.01,0.022,0.007,0.002,0.007
65,0.005,0.005,0.008,0.01,0.022,0.007,0.002,0.008
66,0.005,0.005,0.008,0.01,0.023,0.007,0.002,0.008
67,0.005,0.005,0.008,0.01,0.024,0.007,0.002,0.008
68,0.005,0.005,0.008,0.01,0.025,0.007,0.002,0.008
69,0.005,0.005,0.008,0.01,0.026,0.007,0.002,0.008
70,0.005,0.005,0.008,0.011,0.026,0.007,0.002,0.008
71,0.005,0.005,0.008,0.011,0.026,0.008,0.002,0.008
72,0.005,0.005,0.009,0.011,0.026,0.008,0.002,0.008
73,0.005,0.005,0.009,0.011,0.027,0.008,0.002,0.008
74,0.005,0.005,0.009,0.012,0.027,0.008,0.002,0.008
75,0.006,0.005,0.009,0.012,0.027,0.008,0.002,0.008
76,0.006,0.005,0.009,0.012,0.027,0.009,0.002,0.008
77,0.007,0.005,0.009,0.012,0.027,0.009,0.002,0.008
78,0.007,0.005,0.009,0.012,0.027,0.01,0.002,0.008
79,0.007,0.005,0.01,0.012,0.027,0.01,0.002,0.008
80,0.007,0.005,0.01,0.012,0.028,0.01,0.002,0.008
81,0.007,0.005,0.01,0.012,0.029,0.01,0.002,0.008
82,0.007,0.005,0.01,0.012,0.03,0.01,0.002,0.008
83,0.007,0.005,0.01,0.013,0.03,0.01,0.002,0.008
84,0.007,0.005,0.01,0.013,0.03,0.01,0.003,0.008
85,0.008,0.005,0.01,0.013,0.03,0.01,0.003,0.008
86,0.008,0.005,0.01,0.013,0.03,0.011,0.003,0.008
87,0.008,0.005,0.011,0.013,0.03,0.011,0.003,0.008
88,0.008,0.005,0.011,0.013,0.031,0.011,0.003,0.008
89,0.008,0.005,0.011,0.013,0.032,0.011,0.003,0.008
90,0.008,0.005,0.011,0.013,0.033,0.011,0.003,0.008
91,0.008,0.005,0.011,0.013,0.034,0.011,0.003,0.008
92,0.008,0.005,0.011,0.013,0.035,0.011,0.003,0.008
93,0.008,0.005,0.011,0.013,0.036,0.011,0.003,0.008
94,0.008,0.005,0.011,0.013,0.037,0.011,0.003,0.008
95,0.008,0.005,0.011,0.013,0.038,0.011,0.003,0.008
96,0.008,0.005,0.011,0.014,0.038,0.011,0.003,0.008
97,0.008,0.005,0.011,0.014,0.038,0.012,0.003,0.008
98,0.008,0.005,0.012,0.014,0.038,0.012,0.003,0.008
99,0.008,0.005,0.012,0.014,0.039,0.012,0.003,0.008
100,0.008,0.005,0.012,0.014,0.04,0.012,0.003,0.008
101,0.008,0.005,0.012,0.014,0.041,0.012,0.003,0.008
102,0.008,0.005,0.012,0.014,0.042,0.012,0.003,0.008
103,0.008,0.005,0.012,0.014,0.043,0.012,0.003,0.008
104,0.008,0.005,0.012,0.015,0.043,0.012,0.003,0.008
105,0.008,0.005,0.012,0.015,0.043,0.013,0.003,0.008
106,0.008,0.005,0.013,0.015,0.043,0.013,0.003,0.008
107,0.008,0.005,0.013,0.015,0.043,0.013,0.003,0.009
108,0.008,0.005,0.013,0.015,0.044,0.013,0.003,0.009
109,0.008,0.005,0.013,0.016,0.044,0.013,0.003,0.009
110,0.008,0.005,0.013,0.016,0.044,0.014,0.003,0.009
111,0.008,0.005,0.014,0.016,0.044,0.014,0.003,0.009
112,0.008,0.005,0.014,0.016,0.045,0.014,0.003,0.009
113,0.008,0.005,0.014,0.016,0.046,0.014,0.003,0.009
114,0.008,0.005,0.014,0.017,0.046,0.014,0.003,0.009
115,0.008,0.005,0.014,0.017,0.046,0.015,0.003,0.009
116,0.009,0.005,0.014,0.017,0.046,0.015,0.003,0.009
117,0.009,0.005,0.014,0.017,0.046,0.016,0.003,0.009
118,0.009,0.005,0.015,0.017,0.046,0.016,0.003,0.009
119,0.009,0.005,0.015,0.017,0.046,0.016,0.003,0.01
120,0.009,0.006,0.015,0.017,0.046,0.016,0.003,0.01
121,0.009,0.006,0.015,0.017,0.047,0.016,0.003,0.01
122,0.009,0.006,0.015,0.018,0.047,0.016,0.003,0.01
123,0.01,0.006,0.015,0.018,0.047,0.016,0.003,0.01
124,0.01,0.007,0.015,0.018,0.047,0.016,0.003,0.01
125,0.01,0.007,0.015,0.018,0.048,0.016,0.003,0.01
126,0.01,0.007,0.015,0.018,0.049,0.016,0.003,0.01
127,0.01,0.007,0.015,0.018,0.05,0.016,0.003,0.01
128,0.01,0.007,0.015,0.018,0.051,0.016,0.003,0.01
129,0.01,0.007,0.015,0.018,0.052,0.016,0.003,0.01
130,0.01,0.007,0.015,0.019,0.052,0.016,0.003,0.01
131,0.01,0.007,0.015,0.019,0.052,0.017,0.003,0.01
132,0.01,0.007,0.016,0.019,0.052,0.017,0.003,0.01
133,0.01,0.007,0.016,0.019,0.052,0.017,0.003,0.011
134,0.01,0.007,0.016,0.019,0.053,0.017,0.003,0.011
135,0.01,0.007,0.016,0.019,0.054,0.017,0.003,0.011
136,0.01,0.007,0.016,0.019,0.055,0.017,0.003,0.011
137,0.01,0.007,0.016,0.02,0.055,0.017,0.003,0.011
138,0.01,0.007,0.016,0.02,0.055,0.018,0.003,0.011
139,0.011,0.007,0.016,0.02,0.055,0.018,0.003,0.011
140,0.011,0.007,0.016,0.02,0.055,0.019,0.003,0.011
141,0.011,0.007,0.017,0.02,0.055,0.019,0.003,0.011
142,0.011,0.007,0.017,0.02,0.055,0.019,0.003,0.012
143,0.011,0.008,0.017,0.02,0.055,0.019,0.003,0.012
144,0.011,0.008,0.017,0.02,0.056,0.019,0.003,0.012
145,0.011,0.008,0.017,0.02,0.057,0.019,0.003,0.012
146,0.011,0.008,0.017,0.021,0.057,0.019,0.003,0.012
147,0.011,0.008,0.017,0.021,0.057,0.02,0.003,0.012
148,0.011,0.008,0.018,0.021,0.057,0.02,0.003,0.012
149,0.011,0.008,0.018,0.021,0.057,0.02,0.003,0.013
150,0.011,0.009,0.018,0.021,0.057,0.02,0.003,0.013
151,0.011,0.009,0.019,0.021,0.057,0.02,0.003,0.013
152,0.011,0.009,0.019,0.021,0.058,0.02,0.003,0.013
153,0.011,0.009,0.019,0.022,0.058,0.02,0.003,0.013
154,0.011,0.009,0.019,0.022,0.058,0.021,0.003,0.013
155,0.011,0.009,0.02,0.022,0.058,0.021,0.003,0.013
156,0.011,0.009,0.02,0.022,0.059,0.021,0.003,0.013
157,0.011,0.009,0.02,0.022,0.06,0.021,0.003,0.013
158,0.011,0.009,0.02,0.023,0.06,0.021,0.003,0.013
159,0.011,0.009,0.02,0.023,0.06,0.022,0.003,0.013
160,0.011,0.009,0.021,0.023,0.06,0.022,0.003,0.013
